OrgID,FisYear,CDFlag,FeedDate,FYEndDate,CG_BD_BF,CG_BD_BS,CG_BD_CP,CG_In_VS,CG_Sh_SR,Ec_Ma_Pe,Ec_Pr_SL,Ec_Re_CL,En_En_ER,En_En_PI,En_En_RR,So_Cu_PR,So_So_Co,So_So_HR,So_Wo_DO,So_Wo_EQ,So_Wo_HS,So_Wo_TD,Score,CScore,ControversiesScore,ResourceUseScore,EmissionsScore,InnovationScore,WorkforceScore,HumanRightsScore,CommunityScore,ProductRespScore,ManagementScore,ShareholdersScore,CSRStrategyScore,Asset4Id,OrgName,BusTRBCId,PrimExchg,StatusFlag,OAId,tick,Cusip,Sedol,Isin
12284,2014,500,24/04/2022,30/06/2014,0.581825,0.778335,0.469031,0.865388,0.779527,0.703714,0.386303,0.907646,0.827742,0.955353,0.936884,0.609983,0.939982,0.916686,0.943661,0.643122,0.971079,0.814947,0.5918975721,0.5918975721,0.8823529412,0.875,0.6891891892,0.9807692308,0.8068181818,0.3666666667,0.6022727273,0.3571428571,0.4345360825,0.7025773196,0.7,A4_00186,Procter & Gamble Co,5420,NYSE,1,4295903247,PG,74271810,270440,US7427181091
12284,2017,500,24/04/2022,30/06/2017,0.567428,0.847843,0.514441,0.908551,0.883594,0.747069,0.821391,0.961807,0.938394,0.979541,0.942201,0.533833,0.774217,0.923381,0.959996,0.795521,0.975991,0.865309,0.6589616015,0.4128141341,0.1666666667,0.7222222222,0.6413043478,0.9864864865,0.7857142857,0.9090909091,0.7222222222,0.5238095238,0.2979711142,0.7037482806,0.6988950276,A4_00186,Procter & Gamble Co,5420,NYSE,1,4295903247,PG,74271810,270440,US7427181091
12284,2018,500,24/04/2022,30/06/2018,0.45413,0.465144,0.342449,0.819537,0.844219,0.607096,0.877489,0.479968,0.946228,0.964833,0.943818,0.836271,0.717333,0.870731,0.952565,0.418575,0.953758,0.787159,0.6497967015,0.6497967015,0.7916666667,0.77,0.6764705882,0.9871794872,0.7089552239,0.90625,0.7089552239,0.5223880597,0.2600066711,0.7063042028,0.6851415094,A4_00186,Procter & Gamble Co,5420,NYSE,1,4295903247,PG,74271810,270440,US7427181091
12284,2010,500,24/04/2022,30/06/2010,0.89749,0.900161,0.355293,0.859286,0.523493,0.833323,0.895388,0.532907,0.936551,0.971423,0.945027,0.472124,0.816048,0.945975,0.95008,0.774922,0.953219,0.846656,0.6632405282,0.3524535974,0.0416666667,0.953125,0.564516129,0.9782608696,0.6794871795,0.475,0.6025641026,0.8918918919,0.3884422111,0.5753768844,0.76,A4_00186,Procter & Gamble Co,5420,NYSE,1,4295903247,PG,74271810,270440,US7427181091
12286,2019,500,24/04/2022,31/12/2019,0.344323,0.212863,0.478928,0.943008,0.734267,0.318774,0.108296,0.381381,0.899542,0.832053,0.939282,0.976585,0.979707,0.89526,0.74124,0.082432,0.953552,0.862595,0.6416232178,0.6416232178,0.8055555556,0.6283783784,0.3141025641,0.6086956522,0.8563218391,0.8728813559,0.6264367816,0.7302631579,0.4834236532,0.4818297737,0.9960106383,A4_00168,Coca-Cola Co,5410,NYSE,1,4295903091,KO,19121610,220665,US1912161007
12286,2012,500,24/04/2022,31/12/2012,0.827515,0.652307,0.44139,0.932299,0.928695,0.918223,0.859124,0.499681,0.926877,0.926022,0.92804,0.863423,0.849325,0.955769,0.94585,0.824608,0.968868,0.815272,0.7241462382,0.4870731191,0.25,0.6627906977,0.402173913,0.6666666667,0.9705882353,0.95,0.75,0.8936170213,0.5082219938,0.6336073998,0.9917431193,A4_00168,Coca-Cola Co,5410,NYSE,1,4295903091,KO,19121610,220665,US1912161007
12286,2013,500,24/04/2022,31/12/2013,0.827586,0.757284,0.753936,0.921815,0.928229,0.934386,0.958441,0.540123,0.94792,0.934624,0.93214,0.573181,0.947738,0.952874,0.946508,0.546897,0.968053,0.820463,0.7657474868,0.4056010161,0.0454545455,0.6022727273,0.3369565217,0.6833333333,0.81,0.9464285714,0.806122449,0.8666666667,0.9572605561,0.605046344,0.9917883212,A4_00168,Coca-Cola Co,5410,NYSE,1,4295903091,KO,19121610,220665,US1912161007
12286,2016,500,24/04/2022,31/12/2016,0.427695,0.81762,0.657218,0.94588,0.853025,0.925413,0.9545,0.487378,0.949492,0.968869,0.940876,0.785356,0.735541,0.956229,0.938351,0.914699,0.905687,0.853082,0.7688284903,0.7688284903,0.8333333333,0.8191489362,0.53125,0.6,0.6875,0.8684210526,0.6696428571,0.9081632653,0.8895323895,0.5132990133,0.9923312883,A4_00168,Coca-Cola Co,5410,NYSE,1,4295903091,KO,19121610,220665,US1912161007
12286,2014,500,24/04/2022,31/12/2014,0.341342,0.643669,0.819234,0.925584,0.78854,0.921571,0.819208,0.532555,0.931904,0.938071,0.864829,0.889318,0.936166,0.950701,0.553843,0.804236,0.9696,0.82343,0.7241941299,0.3898748427,0.0555555556,0.625,0.3586956522,0.6875,0.67,0.9032258065,0.91,0.8695652174,0.7716494845,0.5067010309,0.9925925926,A4_00168,Coca-Cola Co,5410,NYSE,1,4295903091,KO,19121610,220665,US1912161007
12286,2010,500,24/04/2022,31/12/2010,0.771643,0.820052,0.665986,0.941691,0.565337,0.964316,0.95313,0.88794,0.93423,0.870165,0.943152,0.574813,0.960302,0.653482,0.95337,0.764089,0.974294,0.926003,0.8627019101,0.4540782278,0.0454545455,0.8125,0.4875,0.6296296296,0.9891304348,0.9782608696,0.8586956522,0.9444444444,0.9763819095,0.859798995,0.993,A4_00168,Coca-Cola Co,5410,NYSE,1,4295903091,KO,19121610,220665,US1912161007
